iter	MultiClass
537	0.0712506314
538	0.07117382031
539	0.07105989899
540	0.07082351597
541	0.07057607747
542	0.07044625592
543	0.07033983732
544	0.07028153987
545	0.07014455304
546	0.06998107102
547	0.06988495579
548	0.06965633881
549	0.06956925412
550	0.06939319711
551	0.06934112365
552	0.06925671439
553	0.06907970911
554	0.06891829084
555	0.06882086868
556	0.06863791765
557	0.0684427399
558	0.06824647357
559	0.06809530068
560	0.06796643408
561	0.06786080355
562	0.06766230471
563	0.06751493328
564	0.06743368696
565	0.06721907422
566	0.06708966609
567	0.06692899624
568	0.06678979893
569	0.06671812961
570	0.06659074191
571	0.06655363803
572	0.06651683876
573	0.06643753141
574	0.06634293913
575	0.06622697526
576	0.06606164945
577	0.06584907249
578	0.06576383742
579	0.06567272818
580	0.06562079334
581	0.06547386746
582	0.06535538642
583	0.06519998589
584	0.0650374919
585	0.06492295048
586	0.06475703622
587	0.06447075717
588	0.06440930307
589	0.06430170429
590	0.06415108886
591	0.06397519418
592	0.06387853358
593	0.06381035193
594	0.06370818483
595	0.06347585659
596	0.06337789616
597	0.06323701479
598	0.06314037054
599	0.06303636582
600	0.06293940182
601	0.06283206684
602	0.06266845048
603	0.06259549685
604	0.06247229148
605	0.06233852599
606	0.06213799718
